choices,labels,question
"['A) water plants', 'B) believe in god', 'C) drive to the nearest pool', 'D) speaking english', 'E) raise children']",A,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?"
"['A) woods', 'B) illinois', 'C) indiana', 'D) washington state', 'E) tampa']",C,"I picked from an apple tree outside of Fort Wayne, where am I?"
"['A) synagogue', 'B) front porch', 'C) classroom', 'D) obesity', 'E) grocery store']",A,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?"
"['A) drunkenness', 'B) have fun', 'C) headache', 'D) hang over', 'E) intimacy']",D,If you're celebrating with too many cocktails what may you have in the morning?
"['A) clingfilm', 'B) disneyland', 'C) cave', 'D) cabinet', 'E) movie']",D,Danny found an old film in a sealed what?
"['A) crime scene', 'B) vein', 'C) blood bank', 'D) slaughter house', 'E) needle']",D,Where are you likely to find much more than a drop of blood on the floor?
"['A) pay debts', 'B) galaxy', 'C) outer space', 'D) orbit', 'E) universe']",C,Where is the first place someone leaving the planet ends up?
"['A) apartment building', 'B) front door', 'C) back door', 'D) street corner', 'E) porch']",B,"The town house went right to the curb, a slot effectively made a mailbox of the what?"
"['A) actors', 'B) theater', 'C) concert hall', 'D) floors', 'E) school']",E,"The architect thought that a mezzanine would look good, but the planning committee rejected it.  They told the architect that they felt it was a potential hazard given the ages of the people who would be using it.  What might they be designing?"
"['A) read book', 'B) own house', 'C) apartment', 'D) more rice', 'E) warm coat']",E,"The person wasn't bothered by the weather, she had remembered to bring her what?"
"['A) enlightenment', 'B) open mind', 'C) confusion', 'D) smartness', 'E) anger']",A,"If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?"
"['A) sit', 'B) being entertained', 'C) jobless', 'D) meet', 'E) laugh']",B,What is the hopeful result of going to see a play?
"['A) ulcers', 'B) degree', 'C) understanding of', 'D) gaining knowledge', 'E) happiness']",D,A person would join a trade school for finding information related to what?
"['A) arrive early', 'B) learn to walk', 'C) boy or girl', 'D) bring joy', 'E) talk nonsense']",E,"Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult."
"['A) hamshackle', 'B) pizza', 'C) fridge', 'D) refrigerator', 'E) part of meal']",B,Where would you put some ham if you want to cook it?
"['A) efficiency', 'B) insanity', 'C) aggravation', 'D) tiredness', 'E) stress']",C,Running errands with screaming kids will likely cause what?
"['A) dishonesty', 'B) deceitful', 'C) imagination', 'D) deceptive', 'E) poker face']",B,"Sam wasn't lying, but he left out important details. He was being what?"
"['A) problems', 'B) distress', 'C) fear', 'D) go to jail', 'E) killer']",A,what does someone have that causes them committing murder?
"['A) army', 'B) battle', 'C) wildlife', 'D) country', 'E) organization']",D,What kind of place has a leader?
"['A) say words', 'B) meet friends', 'C) open mouth', 'D) thank god', 'E) die of cancer']",A,How is a person likely to communicatewith others?
"['A) england', 'B) town', 'C) desert', 'D) kentucky', 'E) iowa']",E,Where may you be if you're buying pork chops at a corner shop?
"[""A) child's room"", ""B) boy's bedroom"", 'C) own home', 'D) toy store', 'E) house']",A,Where is a well used toy car likely to be found?
"['A) hardware store', 'B) engine', 'C) fishing camp', 'D) lake', 'E) sporting goods store']",C,Where can fisherman store their rods when on a fishing trip?
"['A) injuries', 'B) smiling', 'C) being happy', 'D) glee', 'E) jump']",C,Danny is having fun just dancing and singing with his friends. He wasn't concerned with things that weren't fun. For him having fun is the same as what?
"['A) water cooler', 'B) space shuttle', 'C) baby shower', 'D) bus stop', 'E) family']",A,Where would you find an office worker gossiping with their colleagues?
"['A) pocket', 'B) container', 'C) cabinet', 'D) jar', 'E) store']",C,Where would you put nails if they are already packaged?
"['A) lazy', 'B) own house', 'C) talented', 'D) affluent', 'E) reproduce']",C,What is a person who is good at sports considered?
"['A) straightforward', 'B) serious', 'C) solemn', 'D) somber', 'E) funny']",C,"The man acted ridiculous at the funeral, what attitude should he have taken?"
"['A) home', 'B) library', 'C) stationery store', 'D) cabinet', 'E) desk drawer']",B,"The pencil sharpener was broken in the classroom, where did the teacher recommend the student go?"
"['A) furniture store', 'B) schoolroom', 'C) patio', 'D) office building', 'E) library']",B,Where does a child likely sit at a desk?
"['A) moaning', 'B) die', 'C) kiss', 'D) std', 'E) sanity']",D,"He was trying to procreate with many individuals, this led to a what?"
"['A) excitement', 'B) getting tired', 'C) overtime', 'D) anger', 'E) fights']",A,What does playing soccer and winning lead to?
"['A) amusement park', 'B) truck stop', 'C) mcdonalds', 'D) backpack', 'E) classroom']",A,What attraction is sometimes so large that you need a map to find your way around?
"['A) boredom', 'B) arguments', 'C) headache', 'D) exhaustion', 'E) park']",B,"If my husband never helps me doing housework, what might that lead to?"
"['A) web page', 'B) store', 'C) la ville', 'D) bus', 'E) email']",A,"The advertisement came in the form of a pop-up, where did it appear?"
"['A) apartment', 'B) eat cake', 'C) bus depot', 'D) football stadium', 'E) surface of earth']",E,WHere do people live?
"['A) train', 'B) strange', 'C) human', 'D) stupid', 'E) dangerous']",B,People are what when you're a stranger?
"['A) take notes', 'B) nodding', 'C) change of heart', 'D) writing down', 'E) listening']",B,"The juror was quite bored and zoning out but wanted to convey he was hearing testimony, so he just sat there doing what?"
"['A) atlantic ocean', 'B) books', 'C) france', 'D) aquarium', 'E) fish market']",E,"They wanted to try blowfish, so they went to get some where?"
"['A) neck', 'B) busy city', 'C) own brain', 'D) thruway', 'E) food']",D,When a main artery is used to expedite travel what would it be referred to as?
"['A) classroom', 'B) football game', 'C) everything', 'D) text book', 'E) lawbook']",C,If someone rules the universe of what are they in charge?
"['A) full', 'B) ample', 'C) covered', 'D) bareword', 'E) ample']",B,"The butt was bare, and Sam couldn't stop staring at it.  It was very what?"
"['A) shop', 'B) mall', 'C) department store', 'D) drawer', 'E) library']",B,Where can many stores with clothing be found?
"['A) going too fast', 'B) last several years', 'C) honk the horn', 'D) go fast', 'E) start running']",E,"After working on the car, what did it end up doing?"
"['A) creativity', 'B) hatred', 'C) caregiver', 'D) own house', 'E) much money']",C,"When an elderly person needs help performing daily tasks, who might they call?"
"['A) bottle', 'B) refrigerator', 'C) hockey game', 'D) casino', 'E) bar']",C,Where is beer drank by people watching sticks and pucks?
"['A) at hotel', 'B) house', 'C) library', 'D) bedsit', 'E) closet']",A,Where is there a telephone book in almost every room?
"['A) kansas', 'B) meadow', 'C) farmland', 'D) countryside', 'E) rural area']",D,Where might you see a green field while driving?
"['A) state facts', 'B) talking loudly', 'C) making money', 'D) amount to nothing', 'E) believe in god']",B,"Some people got escorted out of the library, they were probably what?"
"['A) ground', 'B) bathroom', 'C) forest', 'D) countryside', 'E) rural area']",C,"If there is a pond with trees around it, where it it likely located?"
"['A) sea water', 'B) hatred', 'C) fish market', 'D) body of water', 'E) jungle']",A,Blowfish require what specific thing to live?
"['A) nausea', 'B) death', 'C) illness', 'D) health problems', 'E) gain weight']",B,What is the least likely immediate side effect of eating hamburger?
"['A) listen to radio', 'B) solve problems', 'C) driving', 'D) walk', 'E) being late']",A,What would I be doing while going to work and walking?
"['A) appliance store', 'B) vegas', 'C) electronics store', 'D) car dealership', 'E) kitchen']",A,"A showroom feature washers and refrigerators, where is this showroom located?"
"['A) city', 'B) mexica', 'C) san diego', 'D) spain', 'E) mexico']",E,"The man often made smart remarks, like that any restaurant is a mexican restaurant where?"
"['A) last all night', 'B) beehive', ""C) farmer's market"", 'D) jar', 'E) honeyful']",B,"I am looking for honey right from the source, where should I look?"
"['A) london', 'B) apartment building', 'C) city', 'D) falling down', 'E) town']",C,Where are there likely to be a variety of flats to choose from?
"['A) tree', 'B) mulberry bush', 'C) chicken coop', 'D) viking ship', 'E) rabbit warren']",E,A weasel has a thin body and short legs to easier burrow after prey in a what?
"['A) rug', 'B) third world country', 'C) human body', 'D) hospital', 'E) building']",C,What can disease destroy?
"['A) pain', 'B) meaningful work', 'C) english house', 'D) cotton candy', 'E) headache']",C,What does a person from Avalon live in?
"['A) appliance store', 'B) sports stadium', 'C) dress emporium', 'D) hot room', 'E) football stadium']",A,Where is one likely to find a fan for their stove?
"['A) istanbul', 'B) concert', 'C) bedroom', 'D) antique shop', 'E) human being']",C,Jodie felt a tightness in her chest. She was worried but didn't want to go to the hospital. Where might she go instead?
"['A) get arrested', 'B) have fun', 'C) get sick', 'D) spend money', 'E) stupidity']",B,If you're buying beer for a float trip what are you preparing to do?
"['A) north america', 'B) united states', 'C) vancouver island', 'D) american', 'E) cage']",C,Piece of land in Canada where you can find marmot?
"['A) reduction', 'B) make larger', 'C) augment', 'D) gain weight', 'E) expand']",C,"The surgeon's clients had begun to reduce, it seemed girls no longer want to what?"
"['A) doctor', 'B) train station', 'C) newsagent', 'D) market', 'E) table']",A,"While waiting for this appointment, people often read magazines."
"['A) storybook', 'B) woods', 'C) hen house', 'D) natural habitat', 'E) back yard']",A,Where would you find a fox that is made up?
"['A) destroying', 'B) tear down', 'C) raze', 'D) mutilate', 'E) demolition']",B,"In basic training they build you up only to do what, all in hopes of building you up even stronger the next time?"
"['A) kennel', 'B) table', 'C) porch', 'D) backyard', 'E) park']",B,Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?
"['A) control children', 'B) guide children', 'C) speak freely', 'D) cry', 'E) understand children']",B,"John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?"
"['A) bluegrass music', 'B) make music', 'C) drop', 'D) string instrument', 'E) troubles']",A,What are you playing if you're fiddling on a violin?
"['A) deadly', 'B) imprisoned', 'C) paid for', 'D) expensive', 'E) in prison']",C,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?"
"['A) have sex', 'B) get laid', 'C) were lonely', 'D) attract attention', 'E) dance']",D,Why does someone flirt with many people at once?
"['A) river', 'B) television', 'C) india', 'D) england', 'E) europe']",D,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?
"['A) record album', 'B) play music', 'C) hold concert', 'D) blaring', 'E) practice']",A,Why would a band be performing when there are no people nearby?
"['A) bad breath', 'B) defend', 'C) run fast', 'D) ocean', 'E) attack']",E,The dogs were protecting their own when they decided to what the bad man?
"[""A) farmer's field"", 'B) countryside', 'C) cereal packets', 'D) bread', 'E) mill']",E,What is used to grind wheat for bread?
"['A) airport', 'B) luggage compartment', 'C) with the pilot', 'D) room', 'E) clothing store']",B,If you have a large satchel with you when you fly you'll be asked to store it where?
"['A) stockings', 'B) rope', 'C) car', 'D) clothing', 'E) drawer']",E,Where would someone keep their nylon leggings?
"['A) laughter', 'B) sweating', 'C) embarrassed', 'D) breathing heavily', 'E) tiredness']",E,If you spend a long time running after a ball how are you likely to feel?
"['A) action', 'B) sleep', 'C) sleeping', 'D) in motion', 'E) using energy']",E,When you need to rest it's often because you have been doing what?
"['A) new moon', 'B) play cards', 'C) read book', 'D) see art', 'E) grocery shop']",E,Boredom and hunger led to a wandering waste of time and a cart full of unhealthy snacks during her trip to where?
"['A) frustration', 'B) waiting', 'C) hair', 'D) time', 'E) patience']",D,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?"
"['A) breathlessness', 'B) increased heart rate', 'C) falling down', 'D) muscle bulk', 'E) calluses']",B,This is an unavoidable physiological consequence of running.  What is it?
"['A) flooding', 'B) drowning', 'C) wet skin', 'D) get wet', 'E) rash']",E,"Sometimes a person has a fear of water or a dislike of being wet, it is still important to make sure they are having a bath why?"
"['A) lights', 'B) crowd', 'C) university campus', 'D) theater', 'E) park']",C,Where would there be an auditorium with only a single person speaking?
"['A) moving forward', 'B) locomotion', 'C) blisters', 'D) rollerskate', 'E) exercise']",A,"To get out of there the person had to keep on walking, they had to keep on what?"
"['A) united states', 'B) space station', 'C) trash can', 'D) field of flowers', 'E) bouquet of flowers']",A,What very large group of western citizens has bees everywhere?
"['A) desk drawer', 'B) kitchen drawer', 'C) classroom', 'D) pocket', 'E) office']",A,Miss Grady took a stick from Bob because he was playing with it during class.  She wanted to make sure that he couldn't get to it so she put it where?
"['A) genetic mutation', 'B) have sex', 'C) kiss', 'D) flirting', 'E) going on a date']",B,How does a person begin reproducing?
"['A) play sports', 'B) throw things', 'C) reading', 'D) watch tv', 'E) play with toys']",D,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?
"['A) jar', 'B) drinking glass', 'C) pot', 'D) container', 'E) can']",A,"They were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?"
"['A) dishwasher', 'B) water fountain', 'C) sand box', 'D) toilet', 'E) kitchen cabinet']",E,From where would you normally take a cup when you're about to get a drink?
"['A) take it all in', 'B) headphones', 'C) desktop', 'D) conference', 'E) concert']",B,What are you using if there are speakers strapped on your ears?
"['A) cool off', 'B) write letter', 'C) get mad', 'D) illustrate point', 'E) destroy enemy']",D,Because of his anger he couldn't clearly explain or what?
"['A) jerusalem', 'B) jewish neighborhoods', 'C) dining in', 'D) new york city', 'E) dining']",D,Where is likely to not just have a kosher restaurant?
"['A) washington state', 'B) utah', 'C) pacific northwest', 'D) northern california', 'E) the desert']",A,The bald eagle flew from Mount St Helen's to the Puget Sound and all over what?
"['A) sporting goods store', 'B) backpack', 'C) kitchen', 'D) sharp edges', 'E) dog house']",C,Where could you get some knives if you are planning to bring them outside with you?
"['A) compete with each other', 'B) feed themselves', 'C) feel lonely', 'D) talk to each other', 'E) ask a doctor']",B,How can people fulfill their own calorie requirements?
"['A) cool house', 'B) warm room', 'C) gas or electric', 'D) burn child', 'E) brown meat']",B,What does a stove do to the place that it's in?
"['A) religious experience', 'B) closed eyes', 'C) loss of control', 'D) sleep', 'E) hallucination']",B,What is the best way to begin going into trance?
"['A) office building', 'B) internet cafe', 'C) house', 'D) school', 'E) internet cafe']",A,A computer user working on an important work assignment is located in what structure?
"['A) carnival', 'B) night club', 'C) theatre', 'D) opera', 'E) ringmaster']",A,The music was festive but why are the horses dancing in circles
"['A) theater', 'B) floors', 'C) concert hall', 'D) education', 'E) school']",A,In the building where James worked there was a small mezzanine in the auditorium to make more space for seats.  Where might James work?
"['A) sleep', 'B) write', 'C) make bread', 'D) stay in bed', 'E) enjoy film']",D,If you aren't well rested and it's a rainy day what might you do?
"['A) tent', 'B) car', 'C) living room', ""D) friend's house"", 'E) apartment']",E,Where would you have a stove if you don't live in a detached dwelling?
"['A) new york', 'B) public place', 'C) bank', 'D) mall', 'E) supermarket door']",D,What kind of place has a revolving door and has things to buy in it?
"['A) cabinet', 'B) backpack', 'C) table', 'D) shelf', 'E) sink']",C,Where can books be read?
"['A) ocean', 'B) found in ocean', 'C) water', 'D) found in sea', 'E) beach']",C,Where is seaweed usually found alive?
"['A) documentary', 'B) costa rica', 'C) garden', 'D) encouragement', 'E) captivity']",E,"If a lizard is fed by people every day, what has happened to it?"
"['A) sadden', 'B) demote', 'C) depress', 'D) drop', 'E) decrease']",C,What will happen to someone if his or her spirits cannot elevate?
"['A) most offices', 'B) fish department', 'C) fancy restaurant', 'D) government submarine', 'E) chesapeake bay']",B,"If you wanted a license to catch crabs, what government office would you go to?"
"['A) bedroom', 'B) table', 'C) wheel barrow', 'D) building', 'E) office']",B,What furniture will you normally find near a side chair?
"['A) junkyard', 'B) ore', 'C) instruments', 'D) metal fabrication shop', 'E) bowls']",C,Metal is used to make what?
"['A) england', 'B) united kingdome', 'C) lancashire', 'D) greater manchester', 'E) cheshire']",D,What is the word added to Manchester that signifies what county it is in?
"['A) get mad', 'B) compile', 'C) debug', 'D) write code', 'E) get frustrated']",E,"The program kept getting errors, the amateur end user began to what?"
"['A) ocean', 'B) heat', 'C) life on earth', 'D) wrinkles', 'E) light']",B,"John knew that the sun produced a massive amount of energy in two forms.  If you were on the surface of the sun, what would kill you first?"
"['A) work', 'B) courtroom', 'C) office building', 'D) press charges', 'E) theatre']",B,Lawyers often talk in front of an audience where?
"['A) gear shift', 'B) garage', 'C) kitchen', 'D) jewelry store', 'E) hardware store']",B,James bought a new set of tire chains and put them somewhere he could find them.  Where would he put them?
"['A) roots', 'B) millions of cells', 'C) see work', 'D) leaves to gather light', 'E) flowers on']",A,"If I wanted to eat something that is made from plants and needs to be washed, what would it be?"
"['A) shady places', 'B) screened porch', 'C) pots', 'D) ceramics', 'E) clay pot']",A,"Ficus can be planted in a yard to make summer more bearable, what sort of areas do they create?"
"['A) parents', 'B) old people', 'C) play ball', 'D) many adults', 'E) grown ups']",A,Children's behavior is a direct reflection of their what?
"['A) apartments', 'B) listen to music', 'C) have friends', 'D) know what ophiolites', 'E) hug']",E,Most people who are family like to greet each other with a what?
"['A) garden shed', 'B) hardware store', 'C) greenhouse', 'D) garage', 'E) in a van']",D,John bought a new water hose.  But he found his old one near his car.  Where did he find the old one?
"['A) airbase', 'B) prison', 'C) mill', 'D) nuclear plant', 'E) recording studio']",D,Where is a control room needed to prevent wide spread disaster?
"['A) table', 'B) plate', 'C) restaurant', 'D) oven', 'E) popular']",B,Where do you keep your pizza slice before you eat it?
"['A) theater', 'B) train', 'C) bathhouse', 'D) dwelling', 'E) actors and actresses']",A,"Everybody was changing into costumes in the dressing room, it was almost time to take the what stage?"
"['A) own home', 'B) mail property tax payments', 'C) board windows', 'D) cut grass', 'E) receive mail']",D,"The homeowner frowned at the price of gas, what did he have to do later?"
"['A) move about', 'B) city', 'C) country', 'D) town', 'E) new york city']",C,"A thoroughfare meandered through fields and woods, where was it passing though?"
"['A) furniture store', 'B) parlor', 'C) turkey', 'D) living room', 'E) den']",A,"If I want a new ottoman, where should I go?"
"['A) neighborhood', 'B) city', 'C) fate', 'D) countryside', 'E) maps']",A,Sean was leaving work and took the roadway that led to his what?
"['A) adriatic sea', 'B) mediterranean sea', 'C) hand', 'D) see', 'E) atlantic ocean']",C,What can you use to get a jellyfish?
"['A) chest of drawers', 'B) stove', 'C) hold alcohol', 'D) bookcase', 'E) grocery store']",A,What has a shelf that does not allow you to see what is inside of it?
"['A) gruesome', 'B) being arrested', 'C) pool of blood', 'D) mess', 'E) grisly']",B,What will likely happen after stabbing to death a person?
"['A) cuba', 'B) styx', 'C) atlantic ocean', 'D) france', 'E) jungle']",E,"The boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?"
"['A) skyscraper', 'B) new york', 'C) school building', 'D) city', 'E) work']",C,Where could you find only a few office?
"['A) club', 'B) restaurant', 'C) university', 'D) pub', 'E) church']",E,Where can I go to be a religious gentleman?
"['A) microscope', 'B) abbreviate', 'C) glasses', 'D) camera', 'E) telescope']",A,"I want to see a prepared slide up close, what would I use to help?"
"['A) bank', 'B) rack', 'C) bed', 'D) newsstand', 'E) bus depot']",D,"Where can you buy a magazine, paper or gum?"
"['A) carpet', 'B) boat', 'C) river', 'D) lumberyard', 'E) synagogue']",D,Where would you get some wood if you do not have any?
"['A) desert', 'B) baseball field', 'C) hell', 'D) baseball diamond', 'E) baseball stadium']",C,"The pitcher felt stress and tension on the mound, what did he feel like?"
"['A) enemies', 'B) perform better', 'C) sweat', 'D) tension', 'E) frostbite']",D,What negative effect can competing in a chess game on a cold day have?
"['A) knowledge', 'B) cover', 'C) no pictures', 'D) past', 'E) many words']",E,Why is it hard for a young child to read a long book?
"['A) dive', 'B) cool off', 'C) fresh cake', 'D) go for swim', 'E) eat ice cream']",E,On a hot day what can you do to enjoy something cool and sweet?
"['A) last word', 'B) conclusion', 'C) ikea instructions', 'D) afterword', 'E) epilogue']",E,What is likely to be found in a book that is not a foreword?
"['A) week', 'B) bright', 'C) night', 'D) twenty four', 'E) year']",D,How many hours are in a day?
"['A) both positive and negative', 'B) unknowable', 'C) important to people', 'D) ocean', 'E) confusing']",E,Why is religion so hard to understand?
"['A) thinking', 'B) effort', 'C) laugh', 'D) force', 'E) medium']",B,"The couple explained they were having trouble communicating, it seemed every conversation took great what?"
"['A) cross street', 'B) have a party', 'C) experience life', 'D) cross road', 'E) man crew']",E,What would a person need to do if his or her captain dies at sea?
"['A) need care', 'B) come home', 'C) fast food', 'D) watch television', 'E) wash dishes']",A,What do children require to grow up healthy?
"['A) city', 'B) subdivision', 'C) newspaper', 'D) residential area', 'E) street']",B,I house outside the center of a community is said to be where?
"['A) syllable', 'B) english alphabet', 'C) word', 'D) email', 'E) invitation']",C,"The field general began to write out a letter to the king, he was told to send what when the enemy was near?"
"['A) write sentences on paper', 'B) ink in', 'C) ink cartridges', 'D) caps', 'E) cling film']",D,What will you put on a pen to prevent it from drying out?
"['A) west virginia', 'B) kentucky', 'C) desert', 'D) sea', 'E) rocky hills']",E,"After climbing the mountains, the explored found the cave, what was the general goegraphy of the region he found it in?"
"['A) hospital', 'B) chemistry lab', 'C) most businesses', 'D) classroom', 'E) public building']",B,"They dealt with combustible mixtures in their experiments, this is why they kept a fire extinguisher where?"
"['A) gay bar', 'B) market', 'C) grocery store', 'D) refrigerator', 'E) container']",A,"If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?"
"['A) box', 'B) grocery store', 'C) eyes', 'D) chewing', 'E) mouth']",B,Where would you get a toothpick if you do not have any?
"['A) spread disease', 'B) swamp', 'C) fly away', 'D) cat condo', 'E) bug campers']",E,What would you be building if you designed a place for an annoying critter to stay?
"['A) swarm', 'B) pack', 'C) countryside', 'D) soft drink', 'E) field of flowers']",A,"The man working in the attic swatted away a bee, but soon the single bee was an entire what?"
"['A) cast iron stomach', 'B) physical exertion', 'C) shin splints', 'D) adventure', 'E) fatigue']",C,What do you need to wear when hiking?
"['A) mall', 'B) office supply store', 'C) school', 'D) sporting goods store', 'E) sporting event']",D,What type of store would have lots of sports equipment?
"['A) case', 'B) jewelry store', 'C) shopping', 'D) jewelery box', 'E) hock']",B,"The business man was promoted recently, to celebrate he went where to buy an expensive wristwatch?"
"['A) slowly', 'B) rush', 'C) being entertained', 'D) have fun', 'E) enjoyment']",B,How is a child eager to be going to play likely to get there?
"['A) tax return', 'B) bankruptcy', 'C) pleasure', 'D) debt', 'E) spending money']",B,There's some new buying products designed to get you money if you have none. The first step is that it will show you how to declare what?
"['A) bathroom', 'B) hardware store', 'C) water fountain', 'D) grocery store', 'E) fridge']",B,Where can you buy a replacement ax handle?
"['A) make mistakes', 'B) ridiculous', 'C) have no home', 'D) mentally unhinged', 'E) schizophrenia']",B,Is that person acting as silly as a clown?
"['A) deep south', ""B) 98 of world's crayfish"", 'C) united states', 'D) gulf states', 'E) bible belt']",D,Which group of states is Louisiana part of?
"['A) kitchen cupboard', 'B) floor', 'C) table', 'D) dishwasher', 'E) flea market']",D,Where would you put a plate immediately after eating from it?
"['A) ground', 'B) subway', 'C) bank', 'D) bed', 'E) street']",D,James couldn't get comfortable.  There was too much dirt.  He needed to clean out what?
"['A) sewers', 'B) laboratory', 'C) basement', 'D) clinic', 'E) cellar']",E,"The rats were hiding in the house, where were they?"
"['A) ask questions', 'B) experience joy', 'C) believe in god', 'D) talk to each other', 'E) get sick']",A,What do people do when they don't understand something?
"['A) end of line', 'B) hobby shop', 'C) his hand', 'D) toy store', ""E) child's hand""]",E,James saw a kite flying in the sky.  He traced the string back to its origin and found it.  Where did the string begin?
"['A) loved', 'B) learn', 'C) eat cake', 'D) balloon', 'E) become adult']",D,What rubber toy filled with helium will make a child happy?
"['A) bottle', 'B) grocery store', 'C) casino', 'D) spaceship', 'E) hockey game']",C,Where do people get beer after a bit of gambling?
"['A) turn off', 'B) functions', 'C) turning off', 'D) entertainment', 'E) fall asleep']",E,What can happen to you when you are using television and it is not interesting?
"['A) brush hair', 'B) theater', 'C) house', 'D) dwelling', 'E) bathhouse']",E,"The business men left the discussion in the dressing room, now they just wanted to relax in the sauna of the what?"
"['A) flower pot', 'B) shelf', 'C) windowsill', 'D) outside', 'E) sill']",D,Where is a likely place for an ivy plant?
"['A) phoenix', 'B) chicago', 'C) antarctica', 'D) san francisco', 'E) urban areas']",A,Where has the newest baseball stadium?
"['A) brownstone', 'B) hotel', 'C) condominium', 'D) entering building', 'E) office building']",A,What type of residence has a ground floor with a stoop?
"['A) gilded', 'B) porous', 'C) solid', 'D) painted', 'E) less dense than water']",B,If the wood texture is not smooth it is what?
"['A) loose skin', 'B) beauty', 'C) miss universe', 'D) death', 'E) healthier']",D,What might happen if someone is not losing weight?
"['A) small town', 'B) jail', 'C) lower case', 'D) contain governmental activities', 'E) lowercase']",A,"Billy lived in the capital of his country, then he moved.  Where might he move to?"
"['A) color', 'B) class', 'C) meeting', 'D) university', 'E) encyclopedia']",B,"Making a schedule was easy to pick, the major called for knowledge that required a certain what?"
"['A) eat more', 'B) starve', 'C) give up', 'D) period of recovery', 'E) jogging']",E,"When getting in shape, this is something that does wonders?"
"['A) automobile accidents', 'B) backache', 'C) pollution', 'D) smoke', 'E) low fuel tank']",A,What could prevent a driving car from continuing to drive?
"['A) supermarket', 'B) factory', 'C) juice', 'D) hostel', 'E) cabinet']",E,Where do you store a large container?
"['A) isolation', 'B) grief', 'C) happiness', 'D) relief', 'E) angry']",C,What is a person likely to experience after they stop being married to a mean person?
"['A) small group', 'B) alone', 'C) solitary', 'D) solitude', 'E) panic']",C,"Despite the large crowds, how did the depressed man feel?"
"['A) bus stop', 'B) corner', 'C) hockey game', 'D) motel', 'E) alley']",D,Where does a maid empty a trash can?
"['A) walked', 'B) petted', 'C) affection', 'D) go outside', 'E) scratch']",A,"The dog curled up for a nap, it was tuckered out because it had just been what?"
"['A) waves', 'B) seattle', 'C) suitcase', 'D) beach', 'E) jacket closet']",D,"He used an umbrella while tanning, where was he likely?"
"['A) pretty smart', 'B) singing', 'C) dark', 'D) very colorful', 'E) light']",D,What do the feathers look like on birds found in the rainforest?
"['A) rabbit warren', 'B) used car lot', 'C) chicken coop', 'D) cruise', 'E) viking ship']",E,The ancient seafaring Norse tribesman brought pelts of weasel aboard his what?
"['A) disgust', 'B) reduction', 'C) depression', 'D) demotion', 'E) diminishment']",C,What is the opposite of an area of elevation?
"['A) warm up', 'B) use microphones', 'C) clear throats', 'D) create music', 'E) sound beautiful']",A,What do singers need to do before a show?
"['A) cause irrational behaviour', 'B) recur', 'C) effectively treated', 'D) managed', 'E) cause suffering']",C,"When a person with mental illness receives medication and therapy, what has happened?"
"['A) action', 'B) butterflies', 'C) happiness', 'D) a sense of calm', 'E) anxiety']",E,What type of feeling is performing for the first time likely to produce?
"['A) misery', 'B) kill', 'C) distress', 'D) tickel', 'E) go to jail']",B,"If someone is found to be committing murder, what did they do to someone?"
"['A) process information', 'B) believe in god', 'C) make decisions', 'D) process information', 'E) receive data']",E,"The computer was hooked up to the internet, what could it do as a result?"
"['A) toxic', 'B) uninhabitable', 'C) mercury sulphide', 'D) poisonous', 'E) jupiter']",B,The planet Mercury is unsuitable for human life or what?
"['A) build', 'B) anxiety', 'C) celebrate', 'D) very nice', 'E) ocean']",B,"Seeing idea become reality was a dream of hers for a long time, but as the time came to get on stage she had more what?"
"['A) meadow', 'B) stick', 'C) valley', 'D) forest', 'E) countryside']",E,A creek could be located in the opposite for the city which is called what?
"['A) flower bed', 'B) tide pool', 'C) florida keys', 'D) coral sea', 'E) aquarium']",C,Where off the eastern U.S. would you find an anemone?
"['A) suitcase', 'B) bedroom', 'C) closet', 'D) draws', 'E) dresser']",A,Where are traveling clothes often kept?
"['A) school', 'B) convenience store', 'C) rest area', 'D) mall', 'E) theater']",B,"If one needed the bathroom they needed a key, to get it they had to also buy something from the what?"
"['A) lay', 'B) go down', 'C) fall', 'D) below', 'E) sundown']",B,"Although the sun did rise, what did the pessimist warn everyone it would do?"
"['A) chest of drawers', 'B) grocery store', 'C) hold alcohol', 'D) nightstand', 'E) bookcase']",E,"The hardcovers were especially tall, so he removed a shelf on the what to make room?"
"['A) park', 'B) insight', 'C) being entertained', 'D) laughter', 'E) fear']",D,If you're watching a comedy film what would you expect to hear from the audience?
